Time (seconds),CO2 (ppm)
10,500
20,500
30,500
40,500
50,500
60,500
70,500
80,500
90,500
100,500
110,500
120,500
10,985
10,629
20,563
30,499
40,439
50,406
60,401
70,402
80,401
90,402
100,401
110,401
120,403
130,401
140,401
150,403
160,402
170,402
180,403
190,400
200,401
210,401
220,402
230,403
240,403
250,404
260,403
270,404
280,400
290,400
300,403
310,402
320,402
330,403
340,400
10,500
20,500
30,500
40,500
50,500
60,500
70,500
80,500
90,500
100,500
110,500
120,500
130,400
140,404
150,404
160,402
170,402
180,402
190,404
200,400
210,400
220,401
230,400
240,404
250,403
260,402
270,402
280,402
290,402
300,400
310,401
320,402
330,401
340,401
350,403
360,404
370,402
380,400
390,402
400,400
410,400
420,400
430,404
440,400
450,401
460,401
470,401
480,401
490,400
500,403
510,402
520,400
530,401
540,401
550,403
560,401
570,402
580,400
590,404
600,402
610,403
620,401
630,401
640,403
650,401
660,403
670,404
680,403
690,403
700,400
710,401
720,403
730,402
740,400
750,402
760,401
770,403
780,403
790,402
800,404
810,403
820,404
830,402
840,401
850,402
860,401
870,400
880,401
890,401
900,401
910,400
920,402
930,401
940,402
950,400
960,400
970,401
980,402
990,402
1000,400
1010,404
1020,403
1030,403
1040,403
1050,400
1060,401
1070,401
1080,400
1090,402
1100,402
1110,404
1120,403
1130,400
1140,400
1150,402
1160,404
1170,401
1180,400
1190,404
1200,404
1210,400
1220,403
1230,400
1240,402
1250,403
1260,402
1270,402
1280,404
1290,401
1300,404
1310,400
1320,403
1330,400
1340,400
1350,400
1360,402
1370,403
1380,402
1390,402
1400,403
1410,401
1420,403
1430,404
1440,404
1450,403
1460,404
1470,404
1480,400
1490,404
1500,402
1510,401
1520,401
1530,402
1540,403
1550,403
1560,400
1570,404
1580,400
1590,404
1600,403
1610,401
1620,403
1630,402
1640,401
1650,403
1660,403
1670,402
1680,401
1690,401
1700,404
1710,404
1720,403
1730,402
1740,402
1750,401
1760,402
1770,400
1780,401
1790,400
1800,400
1810,401
1820,403
1830,400
1840,401
1850,403
1860,400
1870,400
1880,401
1890,400
1900,400
1910,401
1920,403
1930,402
1940,400
1950,403
1960,401
1970,400
1980,402
1990,402
2000,401
2010,403
2020,403
2030,403
2040,402
2050,401
2060,401
2070,404
2080,402
2090,402
2100,403
2110,404
2120,402
2130,401
2140,401
2150,400
2160,400
2170,402
2180,402
2190,403
2200,400
2210,402
2220,400
2230,404
2240,402
2250,403
2260,403
2270,403
2280,402
2290,403
2300,404
2310,404
2320,400
2330,401
2340,404
2350,401
2360,401
2370,400
2380,402
2390,402
2400,400
2410,400
2420,403
2430,402
2440,400
2450,400
2460,404
2470,402
2480,401
2490,404
2500,403
2510,401
2520,479
2530,510
2540,509
2550,459
2560,406
2570,404
